Week,subway ridership: (US),subway covid: (US),MTA covid hotline: (US),COVID-19 pandemic in New York City: (United States)
01/05/20,10,0,0,0.00
01/12/20,10,0,0,0.00
01/19/20,21,0,0,<1
01/26/20,10,0,0,4.00
02/02/20,62,0,0,6.00
02/09/20,41,0,0,2.00
02/16/20,30,0,0,1.00
02/23/20,20,0,0,6.00
03/01/20,20,5,0,54.00
03/08/20,48,27,0,79.00
03/15/20,48,61,0,99.00
03/22/20,47,57,0,100.00
03/29/20,56,60,26,81.00
04/05/20,28,53,0,68.00
04/12/20,72,37,0,47.00
04/19/20,27,51,0,35.00
04/26/20,45,44,0,28.00
05/03/20,73,40,0,25.00
05/10/20,37,43,0,22.00
05/17/20,28,35,0,16.00
05/24/20,68,37,0,14.00
05/31/20,27,17,0,12.00
06/07/20,9,28,0,12.00
06/14/20,29,41,0,12.00
06/21/20,80,54,0,13.00
06/28/20,31,35,0,13.00
07/05/20,51,55,0,13.00
07/12/20,31,61,0,13.00
07/19/20,41,44,0,10.00
07/26/20,31,57,0,9.00
08/02/20,10,41,0,8.00
08/09/20,41,34,0,6.00
08/16/20,41,31,0,6.00
08/23/20,58,30,0,5.00
08/30/20,29,34,0,5.00
09/06/20,19,30,0,5.00
09/13/20,67,32,0,5.00
09/20/20,39,24,0,6.00
09/27/20,40,32,0,11.00
10/04/20,11,33,0,12.00
10/11/20,23,34,0,8.00
10/18/20,35,43,0,7.00
10/25/20,46,26,32,8.00
11/01/20,19,22,0,6.00
11/08/20,0,37,0,13.00
11/15/20,23,58,0,16.00
11/22/20,11,26,0,12.00
11/29/20,43,37,0,11.00
12/06/20,11,47,0,11.00
12/13/20,34,31,31,8.00
12/20/20,0,29,0,8.00
12/27/20,11,37,0,8.00
01/03/21,11,48,0,8.00
01/10/21,11,34,0,7.00
01/17/21,33,47,0,5.00
01/24/21,0,45,0,5.00
01/31/21,22,45,0,5.00
02/07/21,22,36,0,4.00
02/14/21,34,34,0,4.00
02/21/21,11,40,0,5.00
02/28/21,78,38,0,4.00
03/07/21,44,35,0,4.00
03/14/21,41,30,58,3.00
03/21/21,44,37,0,4.00
03/28/21,0,36,0,5.00
04/04/21,23,37,0,4.00
04/11/21,22,33,0,4.00
04/18/21,11,28,31,3.00
04/25/21,11,40,0,4.00
05/02/21,67,48,0,3.00
05/09/21,23,30,0,3.00
05/16/21,34,27,0,3.00
05/23/21,34,27,0,3.00
05/30/21,23,21,0,3.00
06/06/21,23,17,0,2.00
06/13/21,69,16,0,3.00
06/20/21,23,22,32,2.00
06/27/21,34,19,0,2.00
07/04/21,12,19,0,2.00
07/11/21,69,29,0,3.00
07/18/21,36,26,0,4.00
07/25/21,34,35,0,6.00
08/01/21,58,61,0,7.00
08/08/21,23,53,0,6.00
08/15/21,0,41,32,5.00
08/22/21,0,47,0,5.00
08/29/21,35,75,0,4.00
09/05/21,37,40,0,3.00
09/12/21,47,30,0,4.00
09/19/21,12,23,0,3.00
09/26/21,47,29,0,3.00
10/03/21,35,24,0,2.00
10/10/21,49,23,0,2.00
10/17/21,48,20,34,2.00
10/24/21,60,23,0,2.00
10/31/21,12,17,0,2.00
11/07/21,24,20,0,2.00
11/14/21,24,21,0,2.00
11/21/21,12,23,0,3.00
11/28/21,0,25,0,4.00
12/05/21,47,24,33,3.00
12/12/21,12,44,0,16.00
12/19/21,52,53,0,22.00
12/26/21,0,64,34,15.00
01/02/22,12,68,33,12.00
01/09/22,24,59,100,8.00
01/16/22,47,100,66,7.00
01/23/22,73,29,0,5.00
01/30/22,25,16,0,4.00
02/06/22,37,10,0,4.00
02/13/22,100,17,0,3.00
02/20/22,84,16,0,3.00
