Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
3/9/2022,3105271,53.70%
3/8/2022,3250273,56.50%
3/7/2022,2986374,53.70%
3/6/2022,1445713,64.40%
3/5/2022,1957335,68.70%
3/4/2022,3083026,55.90%
3/3/2022,3213918,56.50%
3/2/2022,3214702,57.20%
3/1/2022,3144721,56.40%
2/28/2022,2921894,54.00%
2/27/2022,1404737,61.70%
2/26/2022,1826825,62.50%
2/25/2022,2580159,49.90%
2/24/2022,2864025,53.40%
2/23/2022,2900361,54.10%
2/22/2022,2675275,51.90%
2/21/2022,1945048,60.70%
2/20/2022,1478642,64.90%
2/19/2022,1794244,61.40%
2/18/2022,2959462,53.40%
2/17/2022,3116483,54.90%
2/16/2022,3106976,55.70%
2/15/2022,3037189,54.10%
2/14/2022,2913628,54.00%
2/13/2022,1351186,57.90%
2/12/2022,2028603,72.90%
2/11/2022,3021042,54.50%
2/10/2022,3118851,54.90%
2/9/2022,3095072,55.50%
2/8/2022,3022902,53.90%
2/7/2022,2789941,51.70%
2/6/2022,1325280,58.80%
2/5/2022,1794615,60.30%
2/4/2022,2730797,49.40%
2/3/2022,2919948,51.60%
2/2/2022,2945982,51.90%
2/1/2022,2640076,47.20%
1/31/2022,2580730,47.90%
1/30/2022,1263710,56.50%
1/29/2022,1000199,34.80%
1/28/2022,2708397,50.10%
1/27/2022,2730250,48.40%
1/26/2022,2717000,48.20%
1/25/2022,2706871,48.50%
1/24/2022,2542015,48.40%
1/23/2022,1246961,53.50%
1/22/2022,1585292,60.90%
1/21/2022,2570529,48.10%
1/20/2022,2550517,46.80%
1/19/2022,2647727,48.80%
1/18/2022,2546425,47.90%
1/17/2022,1602238,50.20%
1/16/2022,1166766,51.10%
1/15/2022,1436125,55.40%
1/14/2022,2527746,47.30%
1/13/2022,2529329,45.80%
1/12/2022,2464248,44.70%
1/11/2022,2271033,41.90%
1/10/2022,2352277,45.10%
1/9/2022,1103682,48.20%
1/8/2022,1487737,49.50%
1/7/2022,2125569,39.00%
1/6/2022,2396085,43.80%
1/5/2022,2272601,41.80%
1/4/2022,2294147,42.40%
1/3/2022,2172744,41.40%
1/2/2022,1221306,53.70%
1/1/2022,1029180,44.50%
12/31/2021,1629859,52.20%
12/30/2021,2202359,50.90%
12/29/2021,2171073,50.10%
12/28/2021,2172791,50.20%
12/27/2021,2011675,46.50%
12/26/2021,1286484,51.00%
12/25/2021,811945,46.60%
12/24/2021,1577738,43.20%
12/23/2021,2491489,52.50%
12/22/2021,2640159,55.60%
12/21/2021,2703097,57.00%
12/20/2021,2722430,57.40%
12/19/2021,1581503,59.30%
12/18/2021,1882956,59.10%
12/17/2021,3118492,55.10%
12/16/2021,3226842,56.10%
12/15/2021,3249076,54.70%
12/14/2021,3281294,57.60%
12/13/2021,3127619,54.60%
12/12/2021,1831705,65.10%
12/11/2021,2268556,65.70%
12/10/2021,3423782,57.80%
12/9/2021,3440822,56.50%
12/8/2021,3385675,56.90%
12/7/2021,3375157,56.90%
12/6/2021,3142556,55.90%
12/5/2021,1737545,65.00%
12/4/2021,2318203,65.80%
12/3/2021,3380539,56.70%
12/2/2021,3366133,55.50%
12/1/2021,3333735,55.70%
11/30/2021,3214333,55.10%
11/29/2021,3002707,57.00%
11/28/2021,1467414,72.20%
11/27/2021,1882638,67.50%
11/26/2021,2092977,60.10%
11/25/2021,1359188,64.00%
11/24/2021,3091878,58.50%
11/23/2021,3293785,56.40%
11/22/2021,3137259,54.80%
11/21/2021,1676033,74.30%
11/20/2021,2138098,67.00%
11/19/2021,3323841,57.20%
11/18/2021,3419760,57.00%
11/17/2021,3376522,56.90%
11/16/2021,3348316,56.80%
11/15/2021,3117761,55.50%
11/14/2021,1704908,70.00%
11/13/2021,2172149,67.10%
11/12/2021,3164764,53.80%
11/11/2021,2927728,61.00%
11/10/2021,3359437,57.60%
11/9/2021,3287134,56.60%
11/8/2021,3072454,52.80%
11/7/2021,1891963,65.70%
11/6/2021,2198274,67.90%
11/5/2021,3300207,56.30%
11/4/2021,3291525,54.60%
11/3/2021,3301103,54.80%
11/2/2021,2853901,51.50%
11/1/2021,3041089,52.20%
10/31/2021,1748679,69.50%
10/30/2021,2046487,61.10%
10/29/2021,3258376,54.70%
10/28/2021,3373576,58.40%
10/27/2021,3307634,54.90%
10/26/2021,2707913,45.30%
10/25/2021,3001962,52.10%
10/24/2021,1601835,72.70%
10/23/2021,2079731,62.30%
10/22/2021,3232113,54.70%
10/21/2021,3275195,53.50%
10/20/2021,3241475,53.50%
10/19/2021,3185458,54.90%
10/18/2021,2989693,52.70%
10/17/2021,1631844,67.00%
10/16/2021,2044396,60.80%
10/15/2021,3233854,53.90%
10/14/2021,3248072,53.40%
10/13/2021,3164655,54.10%
10/12/2021,3110171,52.90%
10/11/2021,2267498,53.20%
10/10/2021,1499551,56.40%
10/9/2021,2052746,62.80%
10/8/2021,3175133,54.10%
10/7/2021,3198045,52.90%
10/6/2021,3147958,52.90%
10/5/2021,3098187,54.10%
10/4/2021,2870940,50.20%
10/3/2021,1577642,62.60%
10/2/2021,2066222,61.90%
10/1/2021,3169206,52.80%
9/30/2021,3153965,52.40%
9/29/2021,3070509,51.60%
9/28/2021,2934542,48.80%
9/27/2021,2880083,50.00%
9/26/2021,1616915,63.70%
9/25/2021,2132211,66.40%
9/24/2021,3128041,53.10%
9/23/2021,3022830,49.80%
9/22/2021,3027925,49.90%
9/21/2021,3025310,50.30%
9/20/2021,2889759,50.20%
9/19/2021,1598720,61.10%
9/18/2021,2017430,60.70%
9/17/2021,3034676,50.70%
9/16/2021,2539853,42.10%
9/15/2021,2993744,49.90%
9/14/2021,3017947,50.60%
9/13/2021,2858929,50.30%
9/12/2021,1591655,62.10%
9/11/2021,1985273,63.30%
9/10/2021,2845820,48.40%
9/9/2021,2708091,45.50%
9/8/2021,2534847,46.00%
9/7/2021,2238469,42.10%
9/6/2021,1523354,68.30%
9/5/2021,1416893,56.80%
9/4/2021,1779743,61.00%
9/3/2021,2394842,48.80%
9/2/2021,1664178,31.50%
9/1/2021,2298999,44.20%
8/31/2021,2537974,48.70%
8/30/2021,2325695,47.70%
8/29/2021,1400642,56.10%
8/28/2021,1661095,57.00%
8/27/2021,2392602,48.70%
8/26/2021,2485132,47.10%
8/25/2021,2503420,48.20%
