location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,,,
Gibraltar,1/10/2021,420,420,,,,,1.25,1.25,,,,,,,,
Gibraltar,1/11/2021,1445,1445,,,1025,1025,4.29,4.29,,,30424,1025,3.042,,,
Gibraltar,1/12/2021,2501,2501,,,1056,1040,7.42,7.42,,,30869,1040,3.087,,,
Gibraltar,1/13/2021,,,,,,986,,,,,29266,986,2.927,,,
Gibraltar,1/14/2021,,,,,,959,,,,,28465,959,2.846,,,
Gibraltar,1/15/2021,5135,5135,,,,943,15.24,15.24,,,27990,943,2.799,,,
Gibraltar,1/16/2021,5847,5847,,,712,904,17.35,17.35,,,26832,904,2.683,,,
Gibraltar,1/17/2021,5847,5847,,,0,775,17.35,17.35,,,23003,775,2.3,,,
Gibraltar,1/18/2021,6435,6435,,,588,713,19.1,19.1,,,21163,713,2.116,,,
Gibraltar,1/19/2021,7017,7017,,,582,645,20.83,20.83,,,19145,645,1.914,,,
Gibraltar,1/20/2021,7017,7017,,,0,520,20.83,20.83,,,15434,520,1.543,,,
Gibraltar,1/21/2021,7947,7947,,,930,527,23.59,23.59,,,15642,527,1.564,,,
Gibraltar,1/22/2021,8877,8877,,,930,535,26.35,26.35,,,15880,535,1.588,,,
Gibraltar,1/23/2021,9807,9807,,,930,566,29.11,29.11,,,16800,566,1.68,,,
Gibraltar,1/24/2021,10341,10341,,,534,642,30.69,30.69,,,19056,642,1.906,,,
Gibraltar,1/25/2021,10539,10539,,,198,586,31.28,31.28,,,17393,586,1.739,,,
Gibraltar,1/26/2021,11073,11073,,,534,579,32.87,32.87,,,17186,579,1.719,,,
Gibraltar,1/27/2021,11607,11073,,,534,656,34.45,32.87,,,19471,579,1.719,,,
Gibraltar,1/28/2021,12332,12332,,,725,626,36.6,36.6,,,18581,626,1.858,,,
Gibraltar,1/29/2021,12866,12866,,,534,570,38.19,38.19,,,16918,570,1.692,,,
Gibraltar,1/30/2021,12866,12866,,,0,437,38.19,38.19,,,12971,437,1.297,,,
Gibraltar,1/31/2021,13286,12886,400,,420,421,39.43,38.25,1.19,,12496,364,1.08,,,
Gibraltar,2/1/2021,14299,12974,1325,,1013,537,42.44,38.51,3.93,,15939,348,1.033,,,
