location,date,daily_vaccinations,daily_vaccinations_per_100
Gibraltar,1/10/2021,,
Gibraltar,1/11/2021,1025,30424
Gibraltar,1/12/2021,1040,30869
Gibraltar,1/13/2021,986,29266
Gibraltar,1/14/2021,959,28465
Gibraltar,1/15/2021,943,27990
Gibraltar,1/16/2021,904,26832
Gibraltar,1/17/2021,775,23003
Gibraltar,1/18/2021,713,21163
Gibraltar,1/19/2021,645,19145
Gibraltar,1/20/2021,520,15434
Gibraltar,1/21/2021,527,15642
Gibraltar,1/22/2021,535,15880
Gibraltar,1/23/2021,566,16800
Gibraltar,1/24/2021,642,19056
Gibraltar,1/25/2021,586,17393
Gibraltar,1/26/2021,579,17186
Gibraltar,1/27/2021,656,19471
Gibraltar,1/28/2021,626,18581
Gibraltar,1/29/2021,570,16918
Gibraltar,1/30/2021,437,12971
Gibraltar,1/31/2021,421,12496
Gibraltar,2/1/2021,537,15939
Gibraltar,2/2/2021,617,18313
Gibraltar,2/3/2021,653,19382
Gibraltar,2/4/2021,694,20599
Gibraltar,2/5/2021,773,22944
Gibraltar,2/6/2021,887,26328
Gibraltar,2/7/2021,827,24547
Gibraltar,2/8/2021,821,24369
Gibraltar,2/9/2021,804,23864
Gibraltar,2/10/2021,832,24695
Gibraltar,2/11/2021,845,25081
Gibraltar,2/12/2021,846,25111
Gibraltar,2/13/2021,888,26357
Gibraltar,2/14/2021,981,29118
Gibraltar,2/15/2021,905,26862
Gibraltar,2/16/2021,859,25496
Gibraltar,2/17/2021,813,24131
Gibraltar,2/18/2021,811,24072
Gibraltar,2/19/2021,734,21786
Gibraltar,2/20/2021,578,17156
Gibraltar,2/21/2021,642,19056
Gibraltar,2/22/2021,750,22261
Gibraltar,2/23/2021,810,24042
Gibraltar,2/24/2021,812,24101
Gibraltar,2/25/2021,832,24695
Gibraltar,2/26/2021,937,27812
Gibraltar,2/27/2021,1068,31700
Gibraltar,2/28/2021,911,27040
Gibraltar,3/1/2021,918,27248
Gibraltar,3/2/2021,945,28049
Gibraltar,3/3/2021,1040,30869
Gibraltar,3/4/2021,960,28494
Gibraltar,3/5/2021,951,28227
Gibraltar,3/6/2021,986,29266
Gibraltar,3/7/2021,986,29266
Gibraltar,3/8/2021,883,26209
Gibraltar,3/9/2021,796,23626
Gibraltar,3/10/2021,606,17987
Gibraltar,3/11/2021,596,17690
Gibraltar,3/12/2021,513,15227
Gibraltar,3/13/2021,346,10270
Gibraltar,3/14/2021,500,14841
Gibraltar,3/15/2021,579,17186
Gibraltar,3/16/2021,633,18788
Gibraltar,3/17/2021,727,21578
Gibraltar,3/18/2021,811,24072
Gibraltar,3/19/2021,885,26268
Gibraltar,3/20/2021,1005,29830
Gibraltar,3/21/2021,852,25289
Gibraltar,3/22/2021,795,23597
Gibraltar,3/23/2021,751,22291
Gibraltar,3/24/2021,842,24992
Gibraltar,3/25/2021,768,22795
Gibraltar,3/26/2021,759,22528
Gibraltar,3/27/2021,798,23686
Gibraltar,3/28/2021,819,24309
Gibraltar,3/29/2021,741,21994
Gibraltar,3/30/2021,730,21668
Gibraltar,3/31/2021,627,18610
Gibraltar,4/1/2021,624,18521
Gibraltar,4/2/2021,500,14841
Gibraltar,4/3/2021,376,11160
Gibraltar,4/4/2021,389,11546
Gibraltar,4/5/2021,402,11932
Gibraltar,4/6/2021,343,10181
Gibraltar,4/7/2021,297,8815
Gibraltar,4/8/2021,253,7509
Gibraltar,4/9/2021,267,7925
Gibraltar,4/10/2021,327,9706
Gibraltar,4/11/2021,385,11427
Gibraltar,4/12/2021,438,13001
Gibraltar,4/13/2021,587,17423
Gibraltar,4/14/2021,554,16444
Gibraltar,4/15/2021,508,15078
Gibraltar,4/16/2021,482,14306
Gibraltar,4/17/2021,412,12229
Gibraltar,4/18/2021,342,10151
Gibraltar,4/19/2021,286,8489
Gibraltar,4/20/2021,134,3977
Gibraltar,4/21/2021,164,4868
Gibraltar,4/22/2021,249,7391
Gibraltar,4/23/2021,254,7539
Gibraltar,4/24/2021,259,7688
Gibraltar,4/25/2021,264,7836
Gibraltar,4/26/2021,260,7717
Gibraltar,4/27/2021,341,10121
Gibraltar,4/28/2021,367,10893
Gibraltar,4/29/2021,337,10003
Gibraltar,4/30/2021,421,12496
Gibraltar,5/1/2021,421,12496
Gibraltar,5/2/2021,421,12496
Gibraltar,5/3/2021,421,12496
Gibraltar,5/4/2021,337,10003
Gibraltar,5/5/2021,392,11635
Gibraltar,5/6/2021,449,13327
Gibraltar,5/7/2021,449,13327
Gibraltar,5/8/2021,426,12644
Gibraltar,5/9/2021,403,11962
Gibraltar,5/10/2021,380,11279
Gibraltar,5/11/2021,357,10596
Gibraltar,5/12/2021,250,7420
Gibraltar,5/13/2021,141,4185
Gibraltar,5/14/2021,50,1484
Gibraltar,5/15/2021,66,1959
Gibraltar,5/16/2021,81,2404
Gibraltar,5/17/2021,97,2879
Gibraltar,5/18/2021,113,3354
Gibraltar,5/19/2021,219,6500
Gibraltar,5/20/2021,225,6678
Gibraltar,5/21/2021,215,6382
Gibraltar,5/22/2021,206,6114
Gibraltar,5/23/2021,200,5936
Gibraltar,5/24/2021,194,5758
Gibraltar,5/25/2021,189,5610
Gibraltar,5/26/2021,92,2731
Gibraltar,5/27/2021,96,2849
Gibraltar,5/28/2021,160,4749
Gibraltar,5/29/2021,190,5639
Gibraltar,5/30/2021,182,5402
Gibraltar,5/31/2021,174,5165
Gibraltar,6/1/2021,166,4927
Gibraltar,6/2/2021,159,4719
Gibraltar,6/3/2021,145,4304
Gibraltar,6/4/2021,71,2107
Gibraltar,6/5/2021,31,920
Gibraltar,6/6/2021,25,742
Gibraltar,6/7/2021,18,534
Gibraltar,6/8/2021,12,356
Gibraltar,6/9/2021,8,237
Gibraltar,6/10/2021,10,297
Gibraltar,6/11/2021,12,356
Gibraltar,6/12/2021,14,416
Gibraltar,6/13/2021,15,445
Gibraltar,6/14/2021,16,475
Gibraltar,6/15/2021,18,534
Gibraltar,6/16/2021,17,505
Gibraltar,6/17/2021,17,505
Gibraltar,6/18/2021,16,475
Gibraltar,6/19/2021,15,445
Gibraltar,6/20/2021,15,445
Gibraltar,6/21/2021,15,445
Gibraltar,6/22/2021,17,505
Gibraltar,6/23/2021,18,534
Gibraltar,6/24/2021,20,594
Gibraltar,6/25/2021,19,564
Gibraltar,6/26/2021,18,534
Gibraltar,6/27/2021,17,505
Gibraltar,6/28/2021,16,475
Gibraltar,6/29/2021,13,386
Gibraltar,6/30/2021,11,326
Gibraltar,7/1/2021,9,267
Gibraltar,7/2/2021,10,297
Gibraltar,7/3/2021,10,297
Gibraltar,7/4/2021,10,297
Gibraltar,7/5/2021,11,326
Gibraltar,7/6/2021,11,326
Gibraltar,7/7/2021,10,297
Gibraltar,7/8/2021,10,297
Gibraltar,7/9/2021,10,297
Gibraltar,7/10/2021,10,297
Gibraltar,7/11/2021,10,297
Gibraltar,7/12/2021,10,297
Gibraltar,7/13/2021,10,297
Gibraltar,7/14/2021,15,445
Gibraltar,7/15/2021,22,653
Gibraltar,7/16/2021,22,653
Gibraltar,7/17/2021,21,623
Gibraltar,7/18/2021,21,623
Gibraltar,7/19/2021,21,623
Gibraltar,7/20/2021,20,594
Gibraltar,7/21/2021,14,416
Gibraltar,7/22/2021,7,208
Gibraltar,7/23/2021,8,237
Gibraltar,7/24/2021,7,208
Gibraltar,7/25/2021,6,178
Gibraltar,7/26/2021,6,178
Gibraltar,7/27/2021,6,178
Gibraltar,7/28/2021,7,208
Gibraltar,7/29/2021,7,208
Gibraltar,7/30/2021,9,267
Gibraltar,7/31/2021,9,267
Gibraltar,8/1/2021,9,267
Gibraltar,8/2/2021,10,297
Gibraltar,8/3/2021,9,267
Gibraltar,8/4/2021,8,237
Gibraltar,8/5/2021,7,208
Gibraltar,8/6/2021,6,178
Gibraltar,8/7/2021,7,208
Gibraltar,8/8/2021,6,178
Gibraltar,8/9/2021,6,178
Gibraltar,8/10/2021,5,148
Gibraltar,8/11/2021,6,178
Gibraltar,8/12/2021,6,178
Gibraltar,8/13/2021,5,148
Gibraltar,8/14/2021,4,119
Gibraltar,8/15/2021,5,148
Gibraltar,8/16/2021,7,208
Gibraltar,8/17/2021,8,237
Gibraltar,8/18/2021,9,267
Gibraltar,8/19/2021,11,326
Gibraltar,8/20/2021,19,564
Gibraltar,8/21/2021,21,623
Gibraltar,8/22/2021,21,623
Gibraltar,8/23/2021,21,623
Gibraltar,8/24/2021,21,623
Gibraltar,8/25/2021,23,683
Gibraltar,8/26/2021,24,712
Gibraltar,8/27/2021,21,623
Gibraltar,8/28/2021,24,712
Gibraltar,8/29/2021,24,712
Gibraltar,8/30/2021,23,683
Gibraltar,8/31/2021,23,683
Gibraltar,9/1/2021,20,594
Gibraltar,9/2/2021,21,623
Gibraltar,9/3/2021,21,623
Gibraltar,9/4/2021,17,505
Gibraltar,9/5/2021,18,534
Gibraltar,9/6/2021,19,564
Gibraltar,9/7/2021,19,564
Gibraltar,9/8/2021,20,594
