Share of population vaccinated,,,,,
Country_Name,At_Least_1_dose(%),Fully_vac(%),Booster(%),Omicron,Delta
Afghanistan,14.3,12.3,88.1,,20
Albania,44.1,41.1,50.1,,24
Algeria,16.7,13.6,29.8,,35
American Samoa,,,,6,5
Andorra,74,68.1,58.7,19,59
Angola,33,16.4,51.3,1,269
Anguilla,68.2,63.3,44.5,5,37
Antigua and Barbuda,64.7,61.7,,9,112
Argentina,88.6,78.8,69.4,1449,3674
Armenia,36,29.6,66,16,85
Aruba,78.6,72.4,,44,1864
Australia,85.5,79.5,35.3,14323,32891
Austria,76.2,73.3,,3428,9498
Azerbaijan,52.5,47.4,42,12,2
Bahamas,42.2,39.8,,,
Bahrain,83.4,81.3,50.4,,2015
Bangladesh,62.2,46.6,57.6,306,2297
Barbados,55.4,51.6,58.8,1,37
Belarus,57.3,51.1,,,81
Belgium,79.8,78.3,42,11446,45163
Belize,55.8,49.1,43.4,130,197
Benin,18.7,14.6,,,204
Bermuda,74.5,73.1,67.7,20,41
Bhutan,79.8,76.8,61.8,,
Bolivia,59.1,47.5,20,,33
Bonaire,,,,256,752
Bosnia and Herzegovina,28.8,25.8,53.9,89,1177
Botswana,58.7,47.9,64.6,1194,1233
Brazil,83.2,72.5,43,1250,41095
British Virgin Islands,,,,22,48
Brunei,88.3,87.5,62.2,158,569
Bulgaria,29.8,29.4,28.6,353,8655
Burkina Faso,5.6,3.7,53.7,6,32
Burundi,,,,1,57
Cambodia,91.8,88.1,,443,52
Cameroon,3.2,2.5,35.9,4,1196
Canada,85,80.5,59.9,35480,331
Cape Verde,62.2,52.3,15.2,,117749
Cayman Islands,91.4,88.7,31.4,,
Central African Republic,12.8,12.3,,,37
Chad,1.6,0.8,55.7,,18
Chile,91.1,88,49.4,3002,31
China,90.2,86.8,1.8,10,8666
Colombia,81.6,66,12.7,1678,457
Comoros,38,33.1,42.3,,4642
Costa Rica,80.3,73.1,53.1,591,11
Cote d'Ivoire,,,,4,1259
Croatia,57,55,13.6,5407,109
Cuba,93.5,87.1,,,14601
Curacao,,,,240,
Cyprus,77.3,72.4,26.7,,608
Czech Republic,64.9,63.9,,4944,1
Democratic Republic of the Congo,,,,91,18391
Denmark,83.2,81.4,,87006,509
Djibouti,13.3,9.3,56.6,214,159968
Dominica,43.9,40.3,16.6,,65
Dominican Republic,67.7,56,48.7,64,11
DR Congo,0.5,0.3,51.1,,579
Ecuador,84.1,76.9,29.1,480,
Egypt,39,28.5,25.8,26,1264
El Salvador,70.2,65.3,56.8,64,366
Equatorial Guinea,17.9,14.5,56.2,,72
Estonia,64.5,63,55.5,664,14
Eswatini,33.6,29.8,27.4,142,4241
Ethiopia,10.4,1.9,14,,261
EU,75.4,72.7,47.9,,424
Falkland Islands,87.7,59.2,27.6,,
Faroe Islands,85.1,83.5,45.9,,
Fiji,74,68.6,,,
Finland,80.9,76.3,48.8,1678,507
France,82.8,80.6,,40209,12912
French Guiana,,,,299,123514
French Polynesia,,,,,439
Gabon,13.5,11.1,,,35
Gambia,13.1,12.6,,85,86
Georgia,41.9,33.4,27.2,558,444
Germany,76.2,75.1,28.3,64913,710
