W-Dates,WorldDailyCases
2021/01/05,86.7274
2021/01/06,87.5178
2021/01/07,88.4108
2021/01/08,89.2352
2021/01/09,89.9872
2021/01/10,90.577
2021/01/11,91.1985
2021/01/12,91.9001
2021/01/13,92.6503
2021/01/14,93.4108
2021/01/15,94.1841
2021/01/16,94.8288
2021/01/17,95.3562
2021/01/18,95.8757
2021/01/19,96.4755
2021/01/20,97.1733
2021/01/21,97.8307
2021/01/22,98.4914
2021/01/23,99.0625
2021/01/24,99.5214
2021/01/25,100.0153
2021/01/26,100.5723
2021/01/27,101.1758
2021/01/28,101.7893
2021/01/29,102.3798
2021/01/30,102.8959
2021/01/31,103.2857
2021/01/32,103.7335
2021/01/33,104.1959
2021/01/34,104.7223
2021/01/35,105.1919
2021/01/36,105.728
2021/01/37,106.1563
2021/01/38,106.5108
2021/01/39,106.8534
2021/01/40,107.2605
2021/01/41,107.7011
2021/01/42,108.1449
2021/01/43,108.5741
2021/01/44,108.9528
2021/01/45,109.2588
2021/01/46,109.5389
2021/01/47,109.8992
2021/01/48,110.2875
2021/01/49,110.697
2021/01/50,111.1098
2021/01/51,111.4831
2021/01/52,111.8042
2021/01/53,112.0989
2021/01/54,112.4917
2021/01/55,112.9387
2021/01/56,113.3921
2021/01/57,113.8373
2021/01/58,114.228
2021/01/59,114.5364
2021/01/60,114.8459
2021/01/61,115.1591
2021/01/62,115.6039
2021/01/63,116.0612
2021/01/64,116.5081
2021/01/65,116.9205
2021/01/66,117.2943
2021/01/67,117.5989
2021/01/68,118.0149
2021/01/69,118.4859
2021/01/70,118.9667
2021/01/71,119.4553
2021/01/72,119.9065
2021/01/73,120.2706
2021/01/74,120.6277
2021/01/75,121.0969
2021/01/76,121.6469
2021/01/77,122.1917
2021/01/78,122.7538
2021/01/79,123.2494
2021/01/80,123.686
2021/01/81,124.1089
2021/01/82,124.6275
2021/01/83,125.2638
2021/01/84,125.9154
2021/01/85,126.5544
2021/01/86,127.136
2021/01/87,127.614
2021/01/88,128.0754
2021/01/89,128.6473
2021/01/90,129.3301
2021/01/91,130.0404
2021/01/92,130.6761
2021/01/93,131.2036
2021/01/94,131.7609
2021/01/95,132.2604
2021/01/96,132.8641
2021/01/97,133.5462
2021/01/98,134.3892
2021/01/99,135.1347
2021/01/100,135.7978
2021/01/101,136.4923
2021/01/102,137.11
2021/01/103,137.892
2021/01/104,138.7096
2021/01/105,139.5247
2021/01/106,140.3815
2021/01/107,141.1704
2021/01/108,141.8533
2021/01/109,142.5522
2021/01/110,143.4097
2021/01/111,144.2956
2021/01/112,145.1982
2021/01/113,146.1027
2021/01/114,146.9178
2021/01/115,147.644
2021/01/116,148.3295
2021/01/117,149.1785
2021/01/118,150.0844
2021/01/119,150.9807
2021/01/120,151.8648
2021/01/121,152.6549
2021/01/122,153.3309
2021/01/123,154.0248
2021/01/124,154.8252
2021/01/125,155.6711
2021/01/126,156.5405
2021/01/127,157.3719
2021/01/128,158.1575
2021/01/129,158.7938
2021/01/130,159.424
2021/01/131,160.1608
2021/01/132,160.921
2021/01/133,161.6523
2021/01/134,162.3627
2021/01/135,162.9924
2021/01/136,163.5388
2021/01/137,164.0831
2021/01/138,164.7055
2021/01/139,165.379
2021/01/140,165.6601
2021/01/141,166.2865
2021/01/142,166.8573
2021/01/143,167.3373
2021/01/144,167.7898
2021/01/145,168.3232
2021/01/146,168.8927
2021/01/147,169.442
2021/01/148,169.9467
2021/01/149,170.4252
2021/01/150,170.8152
2021/01/151,171.2024
2021/01/152,171.6651
2021/01/153,172.152
2021/01/154,172.6341
2021/01/155,173.0591
2021/01/156,173.454
2021/01/157,173.7781
2021/01/158,174.1011
2021/01/159,174.4712
2021/01/160,174.8902
2021/01/161,175.3431
2021/01/162,175.7653
2021/01/163,176.1332
2021/01/164,176.4359
2021/01/165,176.7461
2021/01/166,177.124
2021/01/167,177.5139
2021/01/168,177.9089
2021/01/169,178.3124
2021/01/170,178.6577
2021/01/171,178.9606
2021/01/172,179.2605
