Category: Finance

Month,Bitcoin: (United States),Inflation rate: (United States),gold: (United States)
2004-01,0,<1,19
2004-02,0,<1,12
2004-03,0,<1,11
2004-04,0,1,10
2004-05,0,<1,12
2004-06,0,<1,10
2004-07,0,<1,9
2004-08,0,<1,9
2004-09,0,<1,9
2004-10,0,<1,11
2004-11,0,<1,14
2004-12,0,<1,14
2005-01,0,<1,10
2005-02,0,<1,10
2005-03,0,<1,10
2005-04,0,<1,10
2005-05,0,<1,8
2005-06,0,<1,10
2005-07,0,<1,9
2005-08,<1,<1,9
2005-09,0,<1,10
2005-10,0,<1,11
2005-11,0,<1,12
2005-12,0,<1,17
2006-01,<1,<1,16
2006-02,<1,<1,15
2006-03,0,<1,15
2006-04,0,<1,20
2006-05,0,<1,27
2006-06,0,<1,19
2006-07,0,<1,17
2006-08,0,<1,14
2006-09,0,<1,15
2006-10,0,<1,14
2006-11,0,<1,13
2006-12,0,0,13
2007-01,<1,<1,13
2007-02,<1,<1,15
2007-03,0,<1,13
2007-04,0,<1,12
2007-05,0,<1,10
2007-06,<1,<1,11
2007-07,0,<1,11
2007-08,0,<1,12
2007-09,0,<1,15
2007-10,0,<1,15
2007-11,<1,<1,21
2007-12,<1,<1,15
2008-01,0,<1,25
2008-02,0,<1,19
2008-03,0,<1,31
2008-04,<1,<1,21
2008-05,0,<1,19
2008-06,<1,<1,17
2008-07,0,<1,19
2008-08,0,<1,21
2008-09,<1,<1,31
2008-10,0,<1,34
2008-11,0,<1,21
2008-12,0,<1,23
2009-01,0,<1,21
2009-02,0,<1,29
2009-03,0,<1,24
2009-04,0,<1,17
2009-05,0,<1,15
2009-06,0,<1,17
2009-07,<1,<1,14
2009-08,0,<1,14
2009-09,<1,<1,20
2009-10,0,<1,20
2009-11,0,<1,23
2009-12,<1,<1,24
2010-01,0,<1,17
2010-02,0,<1,17
2010-03,<1,<1,16
2010-04,<1,<1,14
2010-05,<1,<1,22
2010-06,<1,<1,17
2010-07,<1,<1,16
2010-08,0,<1,15
2010-09,<1,<1,17
2010-10,0,<1,20
2010-11,<1,<1,22
2010-12,<1,<1,19
2011-01,0,<1,21
2011-02,0,<1,21
2011-03,<1,<1,22
2011-04,<1,<1,23
2011-05,<1,<1,23
2011-06,<1,<1,19
2011-07,<1,<1,23
2011-08,<1,<1,45
2011-09,<1,<1,34
2011-10,<1,<1,26
2011-11,<1,<1,24
2011-12,<1,<1,25
2012-01,<1,<1,22
2012-02,<1,<1,20
2012-03,<1,<1,19
2012-04,<1,<1,17
2012-05,<1,<1,19
2012-06,<1,<1,18
2012-07,<1,<1,17
2012-08,<1,<1,18
2012-09,<1,<1,20
2012-10,<1,<1,17
2012-11,<1,<1,19
2012-12,<1,<1,19
2013-01,<1,<1,18
2013-02,<1,<1,19
2013-03,1,<1,17
2013-04,3,<1,31
2013-05,1,<1,21
2013-06,1,<1,22
2013-07,1,<1,20
2013-08,1,<1,19
2013-09,1,<1,17
2013-10,1,<1,19
2013-11,3,<1,16
2013-12,3,<1,18
2014-01,2,<1,18
2014-02,3,<1,16
2014-03,2,<1,16
2014-04,1,<1,15
2014-05,1,<1,14
2014-06,1,<1,14
2014-07,1,<1,15
2014-08,1,<1,13
2014-09,1,<1,14
2014-10,1,<1,16
2014-11,1,<1,17
2014-12,1,<1,17
2015-01,1,<1,17
2015-02,1,<1,15
2015-03,1,<1,16
2015-04,1,<1,15
2015-05,1,<1,14
2015-06,1,<1,14
2015-07,1,<1,20
2015-08,1,<1,20
2015-09,1,<1,15
2015-10,1,<1,13
2015-11,1,<1,15
2015-12,1,<1,16
2016-01,1,<1,16
2016-02,1,<1,17
2016-03,1,<1,15
2016-04,1,<1,15
2016-05,1,<1,16
2016-06,2,<1,19
2016-07,1,<1,18
2016-08,1,<1,16
2016-09,1,<1,15
2016-10,1,<1,16
2016-11,1,<1,20
2016-12,2,<1,18
2017-01,2,<1,17
2017-02,2,<1,15
2017-03,3,<1,15
2017-04,2,<1,15
2017-05,5,<1,14
2017-06,5,<1,13
2017-07,4,<1,14
2017-08,6,<1,15
2017-09,6,<1,14
2017-10,6,<1,14
2017-11,14,<1,14
2017-12,36,<1,16
2018-01,17,<1,16
2018-02,11,<1,15
2018-03,6,<1,14
2018-04,5,<1,13
2018-05,4,<1,13
2018-06,4,<1,12
2018-07,4,<1,14
2018-08,3,<1,14
2018-09,3,<1,13
2018-10,3,<1,15
2018-11,3,<1,15
2018-12,4,<1,16
2019-01,3,<1,16
2019-02,3,<1,15
2019-03,2,<1,14
2019-04,3,<1,13
2019-05,4,<1,14
2019-06,5,<1,18
2019-07,4,<1,17
2019-08,28,<1,24
2019-09,100,<1,18
2019-10,3,<1,17
2019-11,3,<1,15
2019-12,3,<1,16
2020-01,3,<1,20
2020-02,4,<1,22
2020-03,6,<1,36
2020-04,5,<1,26
2020-05,5,<1,21
2020-06,4,<1,21
2020-07,4,<1,28
2020-08,5,<1,34
2020-09,4,<1,21
2020-10,4,<1,20
2020-11,6,<1,21
2020-12,8,<1,21
2021-01,16,<1,24
2021-02,18,<1,27
2021-03,12,<1,24
2021-04,12,<1,20
2021-05,13,<1,22
2021-06,10,<1,21
2021-07,7,<1,18
2021-08,7,<1,20
2021-09,7,<1,19
2021-10,8,<1,14
2021-11,7,<1,15
2021-12,6,<1,15
2022-01,7,<1,14
2022-02,6,<1,15
