Month,Soil_Contaminated,Soil_Healthy
2004-01,100,20
2004-02,39,39
2004-03,24,0
2004-04,38,0
2004-05,0,33
2004-06,65,16
2004-07,34,0
2004-08,47,16
2004-09,58,29
2004-10,15,0
2004-11,30,0
2004-12,0,0
2005-01,12,24
2005-02,13,0
2005-03,11,0
2005-04,36,0
2005-05,21,10
2005-06,11,21
2005-07,11,0
2005-08,0,0
2005-09,9,0
2005-10,0,9
2005-11,61,0
2005-12,26,0
2006-01,46,8
2006-02,24,8
2006-03,47,14
2006-04,29,0
2006-05,33,7
2006-06,28,7
2006-07,21,7
2006-08,13,13
2006-09,31,6
2006-10,28,11
2006-11,22,11
2006-12,11,11
2007-01,20,0
2007-02,52,5
2007-03,14,5
2007-04,9,5
2007-05,20,8
2007-06,21,0
2007-07,33,4
2007-08,24,8
2007-09,8,15
2007-10,17,0
2007-11,13,3
2007-12,25,4
2008-01,22,3
2008-02,19,3
2008-03,21,15
2008-04,42,6
2008-05,33,6
2008-06,27,12
2008-07,18,6
2008-08,15,6
2008-09,16,3
2008-10,27,2
2008-11,28,0
2008-12,21,8
2009-01,21,5
2009-02,25,2
2009-03,29,9
2009-04,25,7
2009-05,15,9
2009-06,26,4
2009-07,24,2
2009-08,15,2
2009-09,18,6
2009-10,21,8
2009-11,25,9
2009-12,19,2
2010-01,17,5
2010-02,17,7
2010-03,27,15
2010-04,24,2
2010-05,19,10
2010-06,18,9
2010-07,21,6
2010-08,16,2
2010-09,15,6
2010-10,30,4
2010-11,21,3
2010-12,21,4
2011-01,29,5
2011-02,20,1
2011-03,41,4
2011-04,36,7
2011-05,47,7
2011-06,33,13
2011-07,23,5
2011-08,45,4
2011-09,29,5
2011-10,27,3
2011-11,28,1
2011-12,26,3
2012-01,38,8
2012-02,27,11
2012-03,19,7
2012-04,7,12
2012-05,22,11
2012-06,23,11
2012-07,19,9
2012-08,19,3
2012-09,19,10
2012-10,26,16
2012-11,23,13
2012-12,17,4
2013-01,16,7
2013-02,28,6
2013-03,28,9
2013-04,20,13
2013-05,19,7
2013-06,13,5
2013-07,18,7
2013-08,14,6
2013-09,18,13
2013-10,20,7
2013-11,19,7
2013-12,16,6
2014-01,18,10
2014-02,17,8
2014-03,22,11
2014-04,24,15
2014-05,16,8
2014-06,17,9
2014-07,14,6
2014-08,11,9
2014-09,18,5
2014-10,18,11
2014-11,23,4
2014-12,18,6
2015-01,19,7
2015-02,19,6
2015-03,22,6
2015-04,16,7
2015-05,26,16
2015-06,19,4
2015-07,20,9
2015-08,11,6
2015-09,19,11
2015-10,16,40
2015-11,20,19
2015-12,12,6
2016-01,13,9
2016-02,18,11
2016-03,15,10
2016-04,14,12
2016-05,18,11
2016-06,16,7
2016-07,18,2
2016-08,14,11
2016-09,20,7
2016-10,24,13
2016-11,23,9
2016-12,15,5
2017-01,18,8
2017-02,18,11
2017-03,20,17
2017-04,17,10
2017-05,17,14
2017-06,18,10
2017-07,17,10
2017-08,14,7
2017-09,17,9
2017-10,17,13
2017-11,14,6
2017-12,16,11
2018-01,15,14
2018-02,14,8
2018-03,18,10
2018-04,23,11
2018-05,16,18
2018-06,16,12
2018-07,11,12
2018-08,11,6
2018-09,12,14
2018-10,14,14
2018-11,19,9
2018-12,12,8
2019-01,17,10
2019-02,16,11
2019-03,17,12
2019-04,21,17
2019-05,12,18
2019-06,19,9
2019-07,12,11
2019-08,12,7
2019-09,10,11
2019-10,14,9
2019-11,19,12
2019-12,18,7
2020-01,13,8
2020-02,13,19
2020-03,11,13
2020-04,15,27
2020-05,17,25
2020-06,17,17
2020-07,12,19
2020-08,12,15
2020-09,21,17
2020-10,15,18
2020-11,15,18
2020-12,15,15
2021-01,13,15
2021-02,16,19
2021-03,17,17
2021-04,22,22
2021-05,15,19
2021-06,15,19
2021-07,17,13
2021-08,8,15
2021-09,13,14
2021-10,10,20
2021-11,18,21
2021-12,21,12
2022-01,21,19
2022-02,23,15
