year,age,activity,sample,hours
2014,0-6,Watch MediaCorp TV,502,1.3
2014,0-6,Watch Pay TV,502,0.9
2014,0-6,Watch other content,502,0.5
2014,0-6,Read news,502,0
2014,0-6,Read magazines,502,0
2014,0-6,Read books,502,0.2
2014,0-6,Do homework,502,0
2014,0-6,Listen to radio,502,0.1
2014,0-6,Listen to music,502,0.2
2014,0-6,Play video games,502,0.2
2014,0-6,Go on the Internet for social networking,502,0
2014,0-6,Go on the Internet for non-media-related use,502,0
2014,7-10,Watch MediaCorp TV,334,1.8
2014,7-10,Watch Pay TV,334,0.9
2014,7-10,Watch other content,334,0.3
2014,7-10,Read news,334,0
2014,7-10,Read magazines,334,0
2014,7-10,Read books,334,0.2
2014,7-10,Do homework,334,0.4
2014,7-10,Listen to radio,334,0.1
2014,7-10,Listen to music,334,0.1
2014,7-10,Play video games,334,0.9
2014,7-10,Go on the Internet for social networking,334,0.1
2014,7-10,Go on the Internet for non-media-related use,334,0
2014,11-14,Watch MediaCorp TV,364,1.7
2014,11-14,Watch Pay TV,364,0.7
2014,11-14,Watch other content,364,0.5
2014,11-14,Read news,364,0
2014,11-14,Read magazines,364,0
2014,11-14,Read books,364,0.3
2014,11-14,Do homework,364,0.4
2014,11-14,Listen to radio,364,0.1
2014,11-14,Listen to music,364,0.3
2014,11-14,Play video games,364,1.3
2014,11-14,Go on the Internet for social networking,364,0.5
2014,11-14,Go on the Internet for non-media-related use,364,0.1
2015,0-6,Watch MediaCorp TV,527,0.6
2015,0-6,Watch Pay TV,527,0.6
2015,0-6,Watch other content,527,0.6
2015,0-6,Read news,527,0
2015,0-6,Read magazines,527,0
2015,0-6,Read books,527,0.2
2015,0-6,Do homework,527,0.1
2015,0-6,Listen to radio,527,0
2015,0-6,Listen to music,527,0.1
2015,0-6,Play video games,527,0.1
2015,0-6,Go on the Internet for social networking,527,0
2015,0-6,Go on the Internet for non-media-related use,527,0
2015,7-10,Watch MediaCorp TV,318,1.2
2015,7-10,Watch Pay TV,318,0.7
2015,7-10,Watch other content,318,0.7
2015,7-10,Read news,318,0
2015,7-10,Read magazines,318,0
2015,7-10,Read books,318,0.3
2015,7-10,Do homework,318,0.4
2015,7-10,Listen to radio,318,0
2015,7-10,Listen to music,318,0.1
2015,7-10,Play video games,318,0.8
2015,7-10,Go on the Internet for social networking,318,0.1
2015,7-10,Go on the Internet for non-media-related use,318,0
2015,11-14,Watch MediaCorp TV,355,1.3
2015,11-14,Watch Pay TV,355,0.5
2015,11-14,Watch other content,355,0.9
2015,11-14,Read news,355,0
2015,11-14,Read magazines,355,0
2015,11-14,Read books,355,0.2
2015,11-14,Do homework,355,0.4
2015,11-14,Listen to radio,355,0
2015,11-14,Listen to music,355,0.2
2015,11-14,Play video games,355,1.1
2015,11-14,Go on the Internet for social networking,355,0.4
2015,11-14,Go on the Internet for non-media-related use,355,0
