Total Revenue,Wage Cost,Profit,BQ
624.00,192.00,432.00,1.00
510.00,256.00,254.00,0.00
120.00,128.00,-8.00,0.00
264.00,129.00,72.00,0.00
296.00,256.00,40.00,0.00
424.00,256.00,168.00,0.00
288.00,320.00,-32.00,0.00
491.00,384.00,107.00,0.00
320.00,192.00,128.00,0.00
848.00,448.00,400.00,1.00
312.00,320.00,-8.00,0.00
376.00,192.00,184.00,0.00
840.00,448.00,394.00,1.00
588.00,320.00,268.00,0.00
400.00,192.00,208.00,0.00
620.00,448.00,172.00,0.00
528.00,320.00,208.00,0.00
32.00,128.00,-96.00,0.00
"1,200.00",384.00,816.00,1.00
956.00,448.00,508.00,1.00
