Category: All categories,
,
Month,Liberty Hall Museum: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,65
2006-10,58
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,100
2007-04,0
2007-05,0
2007-06,48
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,78
2007-12,40
2008-01,0
2008-02,0
2008-03,0
2008-04,35
2008-05,0
2008-06,0
2008-07,0
2008-08,35
2008-09,33
2008-10,30
2008-11,0
2008-12,0
2009-01,30
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,28
2009-10,52
2009-11,0
2009-12,0
2010-01,0
2010-02,26
2010-03,23
2010-04,24
2010-05,26
2010-06,26
2010-07,22
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,20
2011-01,48
2011-02,51
2011-03,31
2011-04,16
2011-05,15
2011-06,16
2011-07,0
2011-08,43
2011-09,14
2011-10,14
2011-11,28
2011-12,13
2012-01,0
2012-02,38
2012-03,12
2012-04,13
2012-05,0
2012-06,13
2012-07,37
2012-08,12
2012-09,36
2012-10,11
2012-11,11
2012-12,11
2013-01,10
2013-02,33
2013-03,30
2013-04,21
2013-05,31
2013-06,11
2013-07,31
2013-08,30
2013-09,0
2013-10,29
2013-11,20
2013-12,10
2014-01,9
2014-02,10
2014-03,9
2014-04,19
2014-05,30
2014-06,23
2014-07,11
2014-08,0
2014-09,32
2014-10,20
2014-11,11
2014-12,0
2015-01,10
2015-02,0
2015-03,0
2015-04,11
2015-05,43
2015-06,23
2015-07,44
2015-08,33
2015-09,0
2015-10,10
2015-11,0
2015-12,20
2016-01,8
2016-02,8
2016-03,16
2016-04,17
2016-05,8
2016-06,26
2016-07,26
2016-08,9
2016-09,8
2016-10,41
2016-11,8
2016-12,8
2017-01,15
2017-02,16
2017-03,7
2017-04,8
2017-05,23
2017-06,0
2017-07,74
2017-08,8
2017-09,15
2017-10,51
2017-11,15
2017-12,8
2018-01,7
2018-02,16
2018-03,0
2018-04,30
2018-05,0
2018-06,16
2018-07,8
2018-08,0
2018-09,15
2018-10,7
2018-11,15
2018-12,8
2019-01,7
2019-02,15
2019-03,7
2019-04,8
2019-05,0
2019-06,31
2019-07,8
2019-08,7
2019-09,28
2019-10,34
2019-11,7
2019-12,14
2020-01,6
2020-02,13
2020-03,6
2020-04,0
2020-05,6
2020-06,0
2020-07,0
2020-08,6
2020-09,6
2020-10,7
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,7
2021-05,0
2021-06,7
2021-07,7
2021-08,0
2021-09,8
2021-10,5
2021-11,5
2021-12,0
2022-01,31
2022-02,18
