Category: All categories,
,
Month,museum field trips: (United States)
2004-01,0
2004-02,25
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,23
2004-08,0
2004-09,39
2004-10,20
2004-11,0
2004-12,0
2005-01,0
2005-02,35
2005-03,59
2005-04,100
2005-05,30
2005-06,15
2005-07,15
2005-08,14
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,22
2006-02,11
2006-03,10
2006-04,0
2006-05,20
2006-06,0
2006-07,10
2006-08,0
2006-09,9
2006-10,17
2006-11,9
2006-12,0
2007-01,23
2007-02,0
2007-03,15
2007-04,7
2007-05,7
2007-06,0
2007-07,7
2007-08,19
2007-09,32
2007-10,34
2007-11,46
2007-12,6
2008-01,21
2008-02,11
2008-03,26
2008-04,25
2008-05,10
2008-06,11
2008-07,10
2008-08,26
2008-09,5
2008-10,26
2008-11,14
2008-12,14
2009-01,13
2009-02,14
2009-03,21
2009-04,26
2009-05,9
2009-06,13
2009-07,4
2009-08,21
2009-09,41
2009-10,11
2009-11,8
2009-12,15
2010-01,37
2010-02,26
2010-03,7
2010-04,21
2010-05,15
2010-06,8
2010-07,10
2010-08,16
2010-09,27
2010-10,21
2010-11,3
2010-12,6
2011-01,12
2011-02,17
2011-03,16
2011-04,14
2011-05,9
2011-06,2
2011-07,2
2011-08,15
2011-09,19
2011-10,12
2011-11,12
2011-12,2
2012-01,11
2012-02,9
2012-03,16
2012-04,11
2012-05,9
2012-06,2
2012-07,7
2012-08,9
2012-09,10
2012-10,8
2012-11,3
2012-12,8
2013-01,10
2013-02,6
2013-03,12
2013-04,15
2013-05,6
2013-06,5
2013-07,5
2013-08,9
2013-09,12
2013-10,14
2013-11,12
2013-12,0
2014-01,14
2014-02,11
2014-03,3
2014-04,11
2014-05,6
2014-06,10
2014-07,0
2014-08,6
2014-09,9
2014-10,7
2014-11,13
2014-12,8
2015-01,12
2015-02,14
2015-03,15
2015-04,17
2015-05,14
2015-06,11
2015-07,6
2015-08,6
2015-09,18
2015-10,16
2015-11,8
2015-12,4
2016-01,7
2016-02,23
2016-03,15
2016-04,16
2016-05,14
2016-06,10
2016-07,5
2016-08,10
2016-09,19
2016-10,12
2016-11,9
2016-12,8
2017-01,13
2017-02,12
2017-03,21
2017-04,17
2017-05,10
2017-06,7
2017-07,4
2017-08,7
2017-09,11
2017-10,10
2017-11,13
2017-12,3
2018-01,15
2018-02,15
2018-03,14
2018-04,15
2018-05,3
2018-06,8
2018-07,9
2018-08,14
2018-09,14
2018-10,17
2018-11,8
2018-12,4
2019-01,15
2019-02,12
2019-03,18
2019-04,14
2019-05,9
2019-06,8
2019-07,11
2019-08,6
2019-09,19
2019-10,15
2019-11,6
2019-12,4
2020-01,15
2020-02,11
2020-03,24
2020-04,21
2020-05,10
2020-06,4
2020-07,3
2020-08,5
2020-09,6
2020-10,4
2020-11,2
2020-12,3
2021-01,3
2021-02,8
2021-03,6
2021-04,5
2021-05,3
2021-06,3
2021-07,4
2021-08,5
2021-09,0
2021-10,4
2021-11,2
2021-12,1
2022-01,5
2022-02,0
