Category: All categories

Month,IndyCar: (United States)
2004-01,0
2004-02,3
2004-03,4
2004-04,9
2004-05,3
2004-06,6
2004-07,12
2004-08,0
2004-09,3
2004-10,0
2004-11,3
2004-12,2
2005-01,2
2005-02,0
2005-03,6
2005-04,11
2005-05,8
2005-06,12
2005-07,16
2005-08,4
2005-09,9
2005-10,5
2005-11,0
2005-12,5
2006-01,3
2006-02,3
2006-03,10
2006-04,7
2006-05,5
2006-06,11
2006-07,4
2006-08,6
2006-09,6
2006-10,2
2006-11,2
2006-12,6
2007-01,4
2007-02,4
2007-03,8
2007-04,5
2007-05,11
2007-06,7
2007-07,11
2007-08,11
2007-09,8
2007-10,3
2007-11,4
2007-12,2
2008-01,5
2008-02,5
2008-03,10
2008-04,18
2008-05,18
2008-06,14
2008-07,23
2008-08,12
2008-09,8
2008-10,6
2008-11,4
2008-12,3
2009-01,5
2009-02,5
2009-03,6
2009-04,19
2009-05,15
2009-06,13
2009-07,15
2009-08,16
2009-09,6
2009-10,10
2009-11,4
2009-12,6
2010-01,6
2010-02,18
2010-03,22
2010-04,10
2010-05,26
2010-06,19
2010-07,19
2010-08,14
2010-09,15
2010-10,11
2010-11,8
2010-12,9
2011-01,9
2011-02,11
2011-03,23
2011-04,28
2011-05,53
2011-06,30
2011-07,20
2011-08,33
2011-09,30
2011-10,100
2011-11,14
2011-12,14
2012-01,17
2012-02,21
2012-03,46
2012-04,46
2012-05,53
2012-06,53
2012-07,32
2012-08,23
2012-09,30
2012-10,13
2012-11,9
2012-12,9
2013-01,10
2013-02,11
2013-03,30
2013-04,24
2013-05,56
2013-06,44
2013-07,27
2013-08,23
2013-09,21
2013-10,35
2013-11,14
2013-12,13
2014-01,15
2014-02,18
2014-03,31
2014-04,32
2014-05,61
2014-06,36
2014-07,38
2014-08,37
2014-09,14
2014-10,12
2014-11,12
2014-12,13
2015-01,11
2015-02,14
2015-03,32
2015-04,41
2015-05,61
2015-06,37
2015-07,25
2015-08,93
2015-09,15
2015-10,11
2015-11,12
2015-12,8
2016-01,12
2016-02,17
2016-03,34
2016-04,42
2016-05,56
2016-06,58
2016-07,27
2016-08,30
2016-09,25
2016-10,9
2016-11,8
2016-12,10
2017-01,9
2017-02,14
2017-03,31
2017-04,38
2017-05,67
2017-06,49
2017-07,39
2017-08,29
2017-09,28
2017-10,15
2017-11,11
2017-12,10
2018-01,14
2018-02,19
2018-03,45
2018-04,46
2018-05,65
2018-06,53
2018-07,31
2018-08,69
2018-09,44
2018-10,13
2018-11,14
2018-12,12
2019-01,18
2019-02,24
2019-03,61
2019-04,38
2019-05,83
2019-06,62
2019-07,45
2019-08,38
2019-09,33
2019-10,14
2019-11,18
2019-12,14
2020-01,15
2020-02,25
2020-03,30
2020-04,22
2020-05,21
2020-06,33
2020-07,60
2020-08,56
2020-09,33
2020-10,30
2020-11,13
2020-12,14
2021-01,15
2021-02,19
2021-03,19
2021-04,66
2021-05,94
2021-06,58
2021-07,38
2021-08,59
2021-09,49
2021-10,15
2021-11,12
2021-12,13
2022-01,12
2022-02,12
