test,college,unemp
1,3,17
1,4,25
0,6,27
0,6,33
1,4,18
0,3,14
1,4,14
1,4,17
1,9,31
2,5,32
1,6,26
3,5,19
0,6,18
0,4,22
1,7,24
0,5,23
1,7,25
1,5,12
1,3,13
0,4,11
0,7,20
0,4,14
1,5,14
0.5,3,14
0.5,6,20
0,4,15
0.5,5,25
1,6,24
0.5,2,18
2,5,9
0,2,10
0,4,13
0,4,18
0.5,6,20
1,5,24
1,5,16
1,5,16
1,6,18
0.5,7,14
0,7,19
2,5,17
0.5,4,10
0.5,4,12
0,4,11
1,4,18
1,5,16
0.5,7,16
1,5,14
0.5,4,18
0.5,4,20
1,7,19
1,4,21
1,3,15
1,4,17
1,3,16
1,4,14
0.5,4,28
0.5,5,43
0,5,53
0.5,3,45
1,5,56
1,4,74
0.5,6,64
1,6,67
0.5,4,45
0.5,4,48
0.5,4,56
0.5,5,49
1,7,58
1,6,65
1,6,69
1,5,47
0.5,4,51
1,4,53
1,4,49
1,6,45
1,6,40
0.5,4,32
0.5,4,34
0.5,5,33
1,6,34
0.5,4,37
0.5,6,35
1,6,35
0.5,6,38
1,5,39
1,6,39
0.5,5,42
0.5,5,36
0.5,5,33
1,4,35
0.5,7,37
0.5,6,40
0.5,5,42
0.5,7,42
0.5,4,38
1,4,47
1,4,45
0.5,6,36
0.5,5,38
0.5,6,35
0.5,5,32
0.5,4,34
0.5,5,36
0.5,5,53
1,6,66
0.5,6,53
0.5,4,32
0.5,6,36
1,6,32
1,5,33
1,7,36
0.5,6,29
0.5,5,21
0.5,5,26
0.5,6,22
1,5,26
0.5,6,31
0.5,5,30
0.5,5,27
1,6,30
0.5,6,29
0.5,7,27
0.5,8,26
0.5,6,24
1,5,21
0.5,6,22
0.5,7,18
0.5,8,25
0.5,7,31
0.5,7,29
0.5,6,24
0.5,6,25
0.5,6,28
0.5,6,26
0.5,8,28
1,7,24
0.5,6,21
0.5,6,21
1,8,15
1,8,26
1,7,27
0.5,8,27
1,7,24
0.5,7,24
0.5,7,29
1,7,29
0.5,9,27
0.5,8,20
1,6,20
0.5,6,19
0.5,8,17
0.5,7,21
0.5,7,27
0.5,7,29
0.5,6,23
1,9,36
0.5,7,27
0.5,8,27
1,10,27
1,8,22
0.5,7,16
0.5,6,17
1,8,16
0.5,9,17
1,8,25
0.5,9,25
0.5,7,22
0.5,8,30
1,8,27
0.5,9,24
0.5,10,26
0.5,9,27
0.5,7,23
0.5,8,20
0.5,9,21
0.5,8,24
0.5,9,32
0.5,8,30
1,7,22
0.5,8,24
1,7,27
1,9,26
0.5,9,25
0.5,8,25
0.5,7,19
0.5,6,18
1,9,15
0.5,8,21
0.5,8,27
0.5,8,23
0.5,6,25
1,7,25
0.5,8,31
0.5,6,75
0.5,6,100
0.5,7,75
0.5,6,54
0.5,6,47
0.5,8,43
0.5,7,38
1,6,38
0.5,5,32
0.5,5,26
0.5,5,32
0.5,5,25
1,6,27
1,6,23
0.5,5,25
0.5,5,17
0.5,5,15
0.5,7,13
0.5,7,18
0.5,5,17
0.5,5,14
0.5,4,12
0.5,4,13
