Category: All categories

Month,Raymour & Flanigan: (New Jersey),Bob's Discount Furniture: (New Jersey),Ashley HomeStore: (New Jersey)
2004-01,11,2,11
2004-02,24,2,11
2004-03,23,0,2
2004-04,11,4,2
2004-05,18,11,5
2004-06,16,3,15
2004-07,22,5,12
2004-08,15,3,9
2004-09,9,0,15
2004-10,10,1,10
2004-11,21,1,10
2004-12,20,1,13
2005-01,30,6,11
2005-02,29,2,11
2005-03,18,2,11
2005-04,22,5,16
2005-05,24,0,14
2005-06,30,5,9
2005-07,32,1,16
2005-08,33,7,17
2005-09,27,5,12
2005-10,35,10,16
2005-11,32,8,25
2005-12,27,9,21
2006-01,46,9,19
2006-02,44,8,33
2006-03,36,16,29
2006-04,35,11,24
2006-05,41,12,25
2006-06,36,15,26
2006-07,54,17,24
2006-08,50,13,32
2006-09,49,12,32
2006-10,48,16,32
2006-11,47,18,41
2006-12,41,16,35
2007-01,73,21,45
2007-02,58,20,42
2007-03,50,16,45
2007-04,48,14,37
2007-05,48,18,35
2007-06,48,15,32
2007-07,64,21,41
2007-08,45,18,40
2007-09,51,20,30
2007-10,49,21,40
2007-11,54,25,42
2007-12,55,19,30
2008-01,64,29,47
2008-02,64,30,42
2008-03,46,26,43
2008-04,42,27,43
2008-05,44,27,40
2008-06,47,24,43
2008-07,51,26,48
2008-08,56,27,38
2008-09,52,26,39
2008-10,47,25,36
2008-11,61,30,47
2008-12,50,26,31
2009-01,60,38,50
2009-02,53,32,52
2009-03,49,31,51
2009-04,45,28,38
2009-05,37,25,40
2009-06,43,21,38
2009-07,43,27,45
2009-08,52,28,49
2009-09,41,16,46
2009-10,41,13,44
2009-11,64,30,53
2009-12,43,25,47
2010-01,61,33,63
2010-02,54,34,64
2010-03,41,29,51
2010-04,35,22,40
2010-05,43,24,52
2010-06,39,23,46
2010-07,42,30,39
2010-08,53,33,39
2010-09,45,29,44
2010-10,50,28,51
2010-11,57,39,71
2010-12,43,35,50
2011-01,88,60,73
2011-02,74,67,67
2011-03,65,61,63
2011-04,67,55,54
2011-05,65,51,48
2011-06,63,49,50
2011-07,75,60,58
2011-08,74,59,56
2011-09,70,61,63
2011-10,63,56,62
2011-11,75,71,79
2011-12,63,64,61
2012-01,67,74,76
2012-02,70,68,81
2012-03,55,67,66
2012-04,59,55,52
2012-05,56,56,59
2012-06,50,50,45
2012-07,66,64,53
2012-08,62,52,52
2012-09,66,38,50
2012-10,58,46,43
2012-11,71,64,60
2012-12,62,48,49
2013-01,72,57,56
2013-02,72,51,63
2013-03,64,47,52
2013-04,67,53,45
2013-05,57,49,44
2013-06,55,43,45
2013-07,66,42,48
2013-08,64,48,47
2013-09,58,47,40
2013-10,63,40,40
2013-11,80,56,56
2013-12,58,49,41
2014-01,65,53,50
2014-02,59,56,51
2014-03,61,49,46
2014-04,56,46,39
2014-05,55,52,40
2014-06,50,45,38
2014-07,62,60,51
2014-08,67,64,54
2014-09,51,60,44
2014-10,60,54,45
2014-11,69,63,66
2014-12,55,56,40
2015-01,56,62,48
2015-02,59,60,47
2015-03,58,55,49
2015-04,43,39,39
2015-05,47,38,42
2015-06,46,44,39
2015-07,57,50,44
2015-08,54,54,45
2015-09,57,43,48
2015-10,53,47,45
2015-11,68,66,51
2015-12,47,57,43
2016-01,52,69,51
2016-02,61,75,56
2016-03,58,69,47
2016-04,53,61,44
2016-05,51,60,46
2016-06,48,55,39
2016-07,53,65,48
2016-08,61,74,46
2016-09,55,62,47
2016-10,57,60,48
2016-11,76,76,57
2016-12,57,67,44
2017-01,63,74,50
2017-02,64,70,52
2017-03,53,64,38
2017-04,53,58,37
2017-05,52,62,41
2017-06,54,54,39
2017-07,55,73,46
2017-08,57,69,49
2017-09,54,66,41
2017-10,53,61,38
2017-11,69,78,50
2017-12,53,64,36
2018-01,58,69,38
2018-02,63,76,43
2018-03,57,62,43
2018-04,57,65,41
2018-05,50,56,39
2018-06,51,50,35
2018-07,61,62,39
2018-08,70,71,44
2018-09,63,66,40
2018-10,61,63,38
2018-11,82,75,57
2018-12,64,68,39
2019-01,67,68,41
2019-02,69,72,48
2019-03,65,72,43
2019-04,60,63,45
2019-05,55,63,44
2019-06,54,58,40
2019-07,67,63,46
2019-08,65,67,48
2019-09,59,61,43
2019-10,57,62,43
2019-11,75,74,60
2019-12,55,63,40
2020-01,55,61,42
2020-02,65,66,48
2020-03,45,48,36
2020-04,39,50,37
2020-05,68,63,47
2020-06,83,74,49
2020-07,90,83,50
2020-08,85,79,52
2020-09,83,72,49
2020-10,87,83,52
2020-11,100,100,64
2020-12,80,73,44
2021-01,95,90,59
2021-02,86,84,55
2021-03,92,83,56
2021-04,86,70,49
2021-05,92,66,48
2021-06,71,60,41
2021-07,86,66,49
2021-08,74,59,48
2021-09,77,51,48
2021-10,73,53,47
2021-11,83,61,52
2021-12,66,49,41
2022-01,86,59,51
2022-02,83,58,50
