aba,rbt:
0,9
9,18
12,12
17,0
0,16
16,0
0,8
8,0
0,7
7,15
8,0
20,7
6,6
19,0
16,11
18,6
5,11
11,17
6,0
0,0
5,5
5,0
9,5
4,4
0,8
25,4
18,7
19,8
0,4
8,15
15,11
10,7
0,3
12,3
3,22
9,3
6,17
9,9
18,11
21,3
9,2
8,15
2,2
11,9
21,2
16,16
6,4
15,9
15,11
10,4
13,6
9,6
6,11
12,8
9,9
19,6
24,2
6,6
14,5
14,7
6,6
13,7
2,5
12,8
19,5
14,11
11,8
26,2
12,7
7,7
14,4
6,4
11,7
7,4
6,2
8,1
16,4
12,0
17,11
10,11
9,8
10,9
7,14
10,5
9,4
14,8
15,2
15,6
7,6
13,5
15,6
15,10
15,5
14,4
12,2
15,4
14,5
20,5
14,4
21,3
21,3
14,4
16,6
22,6
22,4
13,9
16,4
13,3
19,3
26,3
19,5
26,9
27,2
24,5
24,5
29,3
18,5
30,8
22,5
18,2
23,5
22,6
22,9
26,6
13,5
20,8
30,6
29,7
23,7
24,7
25,9
14,7
29,11
24,6
22,10
30,10
27,6
26,8
35,10
26,10
27,7
24,9
29,11
24,13
26,17
26,13
26,9
37,14
31,14
30,18
33,11
29,17
36,11
27,13
36,12
25,15
35,19
35,21
36,25
40,18
40,25
41,26
43,25
42,24
42,23
48,25
42,28
35,20
49,34
53,32
41,34
61,26
49,34
47,36
52,36
61,32
59,28
56,34
54,31
50,39
64,47
59,42
58,50
61,41
73,37
73,35
63,40
70,44
68,53
71,48
60,50
53,41
65,55
67,56
53,46
41,43
46,52
53,57
61,54
62,59
74,56
78,54
49,45
56,42
65,56
71,46
87,64
89,49
92,52
84,56
77,59
75,64
100,59
70,64
64,57
68,64
72,76
76,68
