Category: All categories

Week,kids science website: (United States),kids science books: (United States),kids science youtube: (United States),kids science tiktok: (United States)
2017-02-19,15,31,31,0
2017-02-26,14,43,14,0
2017-03-05,0,0,15,0
2017-03-12,0,0,30,0
2017-03-19,30,30,0,0
2017-03-26,0,45,0,0
2017-04-02,15,15,0,0
2017-04-09,0,62,31,0
2017-04-16,31,31,15,0
2017-04-23,0,60,0,0
2017-04-30,15,30,15,0
2017-05-07,0,16,0,0
2017-05-14,0,17,0,0
2017-05-21,0,50,0,0
2017-05-28,17,85,0,0
2017-06-04,0,34,0,0
2017-06-11,16,33,0,0
2017-06-18,0,0,16,0
2017-06-25,0,0,17,0
2017-07-02,0,36,0,0
2017-07-09,0,0,0,0
2017-07-16,0,0,51,0
2017-07-23,0,0,17,0
2017-07-30,0,48,0,0
2017-08-06,0,0,0,0
2017-08-13,0,16,16,0
2017-08-20,0,63,0,0
2017-08-27,0,47,0,0
2017-09-03,15,31,0,0
2017-09-10,15,31,0,0
2017-09-17,0,15,15,0
2017-09-24,16,16,0,0
2017-10-01,0,46,31,0
2017-10-08,0,15,31,0
2017-10-15,0,15,31,0
2017-10-22,0,46,0,0
2017-10-29,0,15,0,0
2017-11-05,0,15,0,0
2017-11-12,0,45,30,0
2017-11-19,16,33,0,0
2017-11-26,15,45,15,0
2017-12-03,0,15,0,0
2017-12-10,15,62,15,0
2017-12-17,0,16,0,0
2017-12-24,17,70,0,0
2017-12-31,16,48,0,0
2018-01-07,0,45,45,0
2018-01-14,0,60,15,0
2018-01-21,0,15,45,0
2018-01-28,15,29,29,0
2018-02-04,0,14,0,0
2018-02-11,0,15,44,0
2018-02-18,0,15,15,0
2018-02-25,0,0,14,0
2018-03-04,0,59,30,0
2018-03-11,0,89,44,0
2018-03-18,15,30,45,0
2018-03-25,0,31,0,0
2018-04-01,15,0,30,0
2018-04-08,0,60,0,0
2018-04-15,0,30,15,0
2018-04-22,0,45,0,0
2018-04-29,15,91,0,0
2018-05-06,15,15,15,0
2018-05-13,0,31,0,0
2018-05-20,0,31,0,0
2018-05-27,0,0,0,0
2018-06-03,0,31,0,0
2018-06-10,0,30,0,0
2018-06-17,0,16,0,0
2018-06-24,16,0,0,0
2018-07-01,16,16,16,0
2018-07-08,0,0,16,0
2018-07-15,0,32,0,0
2018-07-22,0,31,16,0
2018-07-29,0,16,0,0
2018-08-05,0,47,16,0
2018-08-12,0,16,0,0
2018-08-19,16,32,48,0
2018-08-26,0,0,46,0
